0.033637,50.584
0.037637,25.878
0.041637,13.334
0.045637,6.893
0.049637,3.575
0.053637,1.853
0.057637,0.96
0.061637,0.497
0.065637,0.258
0.069637,0.134
0.073637,0.1
0.077637,0.1
0.081637,0.1
0.981637,50.05
1.881637,75.025
1.925637,74.707
1.933637,74.256
1.941637,73.531
1.945637,72.395
1.949637,70.732
1.953637,68.995
1.957637,67.059
1.961637,64.816
1.965637,62.304
1.969637,59.444
1.973637,56.295
1.977637,52.922
1.981637,49.39
1.985637,45.761
1.989637,42.095
1.993637,38.448
1.997637,34.871
2.001637,31.406
2.005637,28.09
2.009637,24.951
2.013637,22.013
2.017637,19.291
2.021637,16.792
2.025637,14.52
2.029637,12.473
2.033637,10.646
2.037637,9.027
2.041637,7.624
2.045637,6.398
2.049637,5.335
2.053637,4.452
2.057637,3.71
2.061637,3.093
2.065637,2.581
2.965637,38.803
3.865637,56.939
3.969637,56.823
3.981637,56.492
3.989637,56.062
3.993637,55.533
3.997637,54.909
4.001637,53.982
4.005637,52.981
4.009637,51.911
4.013637,50.777
4.017637,49.587
4.021637,48.153
4.025637,46.502
4.029637,44.841
4.033637,43.091
4.037637,41.269
4.041637,39.472
4.045637,37.702
4.049637,35.965
4.053637,34.194
4.057637,32.403
4.065637,30.633
4.069637,28.926
4.081637,27.333
4.981637,42.136
5.881637,49.563
6.781637,53.326
6.981637,53.222
7.009637,53.026
7.013637,52.731
7.025637,52.246
7.029637,51.571
7.041637,50.735
7.045637,49.631
7.049637,48.374
7.053637,47.074
7.057637,45.737
7.065637,44.3
7.069637,42.845
7.073637,41.375
7.077637,39.818
7.089637,38.234
7.097637,36.686
7.997637,45.006
8.897637,49.191
9.797637,51.333
10.273637,51.234
10.285637,51.041
10.313637,50.769
10.321637,50.409
10.325637,49.959
10.329637,49.325
10.333637,48.613
10.341637,47.839
10.385637,47.104
10.389637,46.299
10.397637,45.443
10.405637,44.54
11.305637,47.937
12.205637,49.66
13.105637,50.572
14.005637,51.078
14.049637,50.979
14.057637,50.783
14.081637,50.507
14.097637,50.151
14.121637,49.731
14.133637,49.237
14.145637,48.675
14.149637,48.033
14.153637,47.317
15.053637,49.197
15.953637,50.162
16.853637,50.695
17.753637,51.011
17.785637,50.912
17.829637,50.73
17.865637,50.475
17.885637,50.143
17.901637,49.736
17.917637,49.261
17.925637,48.709
17.929637,48.078
17.937637,47.381
17.965637,46.673
18.865637,48.842
19.765637,49.952
