0.060678,0.996
0.081594,0.992
0.102344,0.989
0.123426,0.985
0.145172,0.981
0.167416,0.977
0.190158,0.973
0.213232,0.969
0.236804,0.966
0.260708,0.962
0.28511,0.958
0.309844,0.954
0.335076,0.951
0.36064,0.947
0.386702,0.943
0.413096,0.94
0.439988,0.936
0.467212,0.932
0.494934,0.929
0.522988,0.925
0.552702,0.921
0.57295,0.918
0.594779,0.914
0.617936,0.911
0.641508,0.907
0.665412,0.904
0.689814,0.9
0.714548,0.896
0.739863,0.893
0.76551,0.889
0.791572,0.886
0.818049,0.883
0.845024,0.879
0.872414,0.876
0.900219,0.872
0.928439,0.869
0.957074,0.865
0.98297,0.862
1.003272,0.859
1.023983,0.855
1.045646,0.852
1.068305,0.849
1.091296,0.845
1.114785,0.842
1.138606,0.839
1.163008,0.835
1.187659,0.832
1.212808,0.829
1.238372,0.826
1.264351,0.823
1.290745,0.819
1.317637,0.816
1.344861,0.813
1.3725,0.81
1.400554,0.807
1.426616,0.803
1.448362,0.8
1.471187,0.797
1.495091,0.794
1.51941,0.791
1.544227,0.788
1.569376,0.785
1.595023,0.782
1.621085,0.779
1.647562,0.776
1.674454,0.773
1.701678,0.77
1.7294,0.767
1.757537,0.764
1.78418,0.761
1.804354,0.758
1.824616,0.755
1.844912,0.752
1.865182,0.749
1.885459,0.746
1.905692,0.743
1.92599,0.74
1.946344,0.737
1.966664,0.734
1.987082,0.731
2.008164,0.729
2.030159,0.726
2.052901,0.723
2.075892,0.72
2.099381,0.717
2.123285,0.714
2.147604,0.712
2.172338,0.709
2.197487,0.706
2.223051,0.703
2.24903,0.701
2.275424,0.698
2.302233,0.695
2.329457,0.692
2.357179,0.69
2.385233,0.687
2.411793,0.684
2.432137,0.682
2.452413,0.679
2.472653,0.676
2.492965,0.674
2.513195,0.671
2.533487,0.668
2.553752,0.666
2.574419,0.663
2.59575,0.661
2.618077,0.658
2.640902,0.656
2.664142,0.653
2.687797,0.65
2.711867,0.648
2.736352,0.645
2.761252,0.643
2.786567,0.64
2.812297,0.638
2.838442,0.635
2.865002,0.633
2.891977,0.63
2.919367,0.628
2.947255,0.625
2.975558,0.623
3.007015,0.621
3.029674,0.618
3.053578,0.616
3.078146,0.613
3.103295,0.611
3.128942,0.609
3.155087,0.606
3.181564,0.604
3.208622,0.601
3.236012,0.599
3.2639,0.597
3.29212,0.594
3.320838,0.592
3.349888,0.59
3.373377,0.588
3.397779,0.585
3.423177,0.583
3.449073,0.581
3.475301,0.578
3.502027,0.576
3.529168,0.574
3.556807,0.572
3.584778,0.569
3.613247,0.567
3.642048,0.565
3.668525,0.563
3.693674,0.561
3.719404,0.558
