0.060664,1.0
0.081832,0.996
0.103,0.992
0.124672,0.988
0.146848,0.985
0.16936,0.981
0.20012,0.98
0.220448,0.977
0.240644,0.973
0.261021,0.969
0.281242,0.965
0.30161,0.961
0.32189,0.958
0.342302,0.954
0.362637,0.95
0.382867,0.947
0.403195,0.943
0.423445,0.939
0.443812,0.935
0.464142,0.932
0.484415,0.928
0.504715,0.925
0.525013,0.921
0.545189,0.917
0.565519,0.914
0.585793,0.91
0.606026,0.907
0.626324,0.903
0.64669,0.9
0.666924,0.896
0.687422,0.893
0.708422,0.889
0.730262,0.886
0.752942,0.884
0.773338,0.883
0.793623,0.88
0.814059,0.877
0.834409,0.873
0.854642,0.87
0.875053,0.866
0.895361,0.863
0.915539,0.86
0.935879,0.856
0.956119,0.853
0.976449,0.85
0.996722,0.846
1.016918,0.843
1.037216,0.84
1.057496,0.836
1.077826,0.833
1.0981,0.83
1.118302,0.827
1.138594,0.823
1.158778,0.82
1.178956,0.817
1.199284,0.814
1.220116,0.811
1.241956,0.807
1.264636,0.806
1.284844,0.806
1.305124,0.803
1.325364,0.8
1.345713,0.797
1.365957,0.793
1.386385,0.79
1.406642,0.787
1.426887,0.784
1.447223,0.781
1.467501,0.778
1.487906,0.775
1.508204,0.772
1.52857,0.769
1.548896,0.766
1.569166,0.763
1.589542,0.76
1.609826,0.757
1.630175,0.754
1.650512,0.751
1.67084,0.748
1.691672,0.745
1.713512,0.742
1.736192,0.741
1.756585,0.741
1.776829,0.738
1.797197,0.735
1.81745,0.733
1.837856,0.73
1.858177,0.727
1.878387,0.724
1.898757,0.721
1.919052,0.718
1.939252,0.716
1.959614,0.713
1.980021,0.71
2.000271,0.707
2.020627,0.704
2.040919,0.702
2.061219,0.699
2.081397,0.696
2.101809,0.694
2.122557,0.691
2.144229,0.688
2.166993,0.687
2.187169,0.687
2.207551,0.685
2.227879,0.682
2.248263,0.679
2.26863,0.677
2.288865,0.674
2.309041,0.671
2.329341,0.669
2.349537,0.666
2.369802,0.664
2.390025,0.661
2.410375,0.658
2.430647,0.656
2.450825,0.653
2.471066,0.651
2.491296,0.648
2.511624,0.646
2.532624,0.643
2.554632,0.641
2.577312,0.641
