0.060678,0.999
0.081594,0.995
0.102344,0.991
0.123426,0.988
0.145172,0.984
0.167416,0.98
0.190158,0.976
0.213232,0.972
0.236804,0.969
0.26561,0.968
0.285916,0.965
0.30634,0.961
0.326632,0.957
0.346834,0.953
0.367165,0.95
0.387417,0.946
0.407799,0.942
0.428127,0.938
0.448511,0.935
0.468785,0.931
0.48902,0.927
0.509196,0.924
0.529496,0.92
0.549692,0.917
0.569957,0.913
0.59018,0.91
0.61053,0.906
0.630802,0.902
0.650984,0.899
0.671241,0.895
0.691483,0.892
0.711751,0.888
0.732501,0.885
0.753915,0.881
0.776325,0.878
0.799067,0.875
0.822307,0.871
0.845879,0.868
0.873689,0.868
0.893891,0.865
0.914222,0.861
0.934474,0.858
0.954856,0.854
0.975096,0.851
0.99548,0.848
1.015754,0.844
1.035989,0.841
1.056275,0.838
1.076475,0.835
1.096671,0.831
1.116936,0.828
1.137159,0.825
1.157399,0.822
1.177739,0.818
1.197917,0.815
1.218158,0.812
1.238438,0.809
1.25869,0.806
1.279274,0.803
1.300688,0.799
1.323098,0.796
1.34584,0.793
1.36908,0.79
1.392652,0.788
1.419632,0.787
1.439876,0.784
1.460234,0.781
1.480526,0.778
1.500728,0.775
1.521032,0.772
1.541288,0.769
1.561476,0.766
1.581777,0.763
1.601965,0.76
1.622211,0.757
1.642407,0.754
1.66272,0.751
1.682947,0.748
1.703247,0.745
1.723543,0.743
1.743871,0.74
1.764289,0.737
1.785205,0.734
1.806951,0.731
1.829527,0.728
1.852435,0.725
1.875841,0.722
1.899579,0.723
1.919883,0.72
1.940313,0.717
1.960651,0.715
1.981082,0.712
2.001452,0.709
2.021747,0.706
2.042142,0.703
2.062418,0.701
2.08266,0.698
2.102891,0.695
2.123093,0.692
2.143448,0.69
2.16374,0.687
2.18408,0.684
2.204402,0.682
2.224986,0.679
2.246234,0.676
2.268478,0.674
2.291054,0.671
2.314128,0.669
2.337617,0.666
2.361521,0.667
2.381747,0.664
2.402132,0.661
2.422388,0.659
2.442576,0.656
2.462877,0.654
2.483065,0.651
2.503417,0.649
2.523798,0.646
2.544034,0.644
2.564261,0.641
2.584582,0.639
2.604869,0.636
2.62514,0.634
2.645558,0.631
2.666474,0.629
2.688386,0.626
2.710879,0.624
2.733787,0.621
2.757276,0.619
2.781014,0.62
2.801378,0.617
2.821728,0.615
2.842009,0.612
2.862209,0.61
2.882397,0.608
2.902643,0.605
2.922839,0.603
2.943152,0.601
2.963452,0.598
2.983736,0.596
3.00407,0.594
3.024388,0.591
3.044806,0.589
3.065805,0.587
3.087883,0.584
3.110459,0.582
3.133533,0.58
3.156939,0.578
3.180843,0.578
3.201228,0.576
3.221598,0.574
3.241888,0.572
3.262064,0.569
3.282394,0.567
3.302749,0.565
3.323016,0.563
3.343308,0.561
3.363492,0.558
3.383796,0.556
3.404162,0.554
3.424746,0.552
3.446077,0.55
3.468404,0.548
3.491146,0.546
3.514303,0.543
3.537875,0.542
3.559709,0.543
3.58001,0.541
3.600198,0.538
3.62055,0.536
